1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
26 49 70 89 106 121 134 145 154 161 166 169 170 169 166 161 154 145 134 121 106 89 70 49 26 1 27 53 79 105 131 157 183 209 235 261 287 313 339 365 391 417 443 469 495 521 547 573 599 625 651 677 703 729 755 781 807 833 859 885 911 937 963 989 1015 1041 1067 1093 1119 1145 1171 1197 1223 1249 1275 1301 1327 1353 1379 1405 1431 1457 1483 1509 1535 1561 1587 1613 1639 1665 1691 1717 1743 1769 1795 1821 1847 1873 1899 1925 
27 51 73 93 111 127 141 153 163 171 177 181 183 183 181 177 171 163 153 141 127 111 93 73 51 27 1 28 55 82 109 136 163 190 217 244 271 298 325 352 379 406 433 460 487 514 541 568 595 622 649 676 703 730 757 784 811 838 865 892 919 946 973 1000 1027 1054 1081 1108 1135 1162 1189 1216 1243 1270 1297 1324 1351 1378 1405 1432 1459 1486 1513 1540 1567 1594 1621 1648 1675 1702 1729 1756 1783 1810 1837 1864 1891 1918 1945 1972 
28 53 76 97 116 133 148 161 172 181 188 193 196 197 196 193 188 181 172 161 148 133 116 97 76 53 28 1 29 57 85 113 141 169 197 225 253 281 309 337 365 393 421 449 477 505 533 561 589 617 645 673 701 729 757 785 813 841 869 897 925 953 981 1009 1037 1065 1093 1121 1149 1177 1205 1233 1261 1289 1317 1345 1373 1401 1429 1457 1485 1513 1541 1569 1597 1625 1653 1681 1709 1737 1765 1793 1821 1849 1877 1905 1933 1961 1989 2017 
29 55 79 101 121 139 155 169 181 191 199 205 209 211 211 209 205 199 191 181 169 155 139 121 101 79 55 29 1 30 59 88 117 146 175 204 233 262 291 320 349 378 407 436 465 494 523 552 581 610 639 668 697 726 755 784 813 842 871 900 929 958 987 1016 1045 1074 1103 1132 1161 1190 1219 1248 1277 1306 1335 1364 1393 1422 1451 1480 1509 1538 1567 1596 1625 1654 1683 1712 1741 1770 1799 1828 1857 1886 1915 1944 1973 2002 2031 2060 
30 57 82 105 126 145 162 177 190 201 210 217 222 225 226 225 222 217 210 201 190 177 162 145 126 105 82 57 30 1 31 61 91 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541 571 601 631 661 691 721 751 781 811 841 871 901 931 961 991 1021 1051 1081 1111 1141 1171 1201 1231 1261 1291 1321 1351 1381 1411 1441 1471 1501 1531 1561 1591 1621 1651 1681 1711 1741 1771 1801 1831 1861 1891 1921 1951 1981 2011 2041 2071 2101 
31 59 85 109 131 151 169 185 199 211 221 229 235 239 241 241 239 235 229 221 211 199 185 169 151 131 109 85 59 31 1 32 63 94 125 156 187 218 249 280 311 342 373 404 435 466 497 528 559 590 621 652 683 714 745 776 807 838 869 900 931 962 993 1024 1055 1086 1117 1148 1179 1210 1241 1272 1303 1334 1365 1396 1427 1458 1489 1520 1551 1582 1613 1644 1675 1706 1737 1768 1799 1830 1861 1892 1923 1954 1985 2016 2047 2078 2109 2140 
32 61 88 113 136 157 176 193 208 221 232 241 248 253 256 257 256 253 248 241 232 221 208 193 176 157 136 113 88 61 32 1 33 65 97 129 161 193 225 257 289 321 353 385 417 449 481 513 545 577 609 641 673 705 737 769 801 833 865 897 929 961 993 1025 1057 1089 1121 1153 1185 1217 1249 1281 1313 1345 1377 1409 1441 1473 1505 1537 1569 1601 1633 1665 1697 1729 1761 1793 1825 1857 1889 1921 1953 1985 2017 2049 2081 2113 2145 2177 
33 63 91 117 141 163 183 201 217 231 243 253 261 267 271 273 273 271 267 261 253 243 231 217 201 183 163 141 117 91 63 33 1 34 67 100 133 166 199 232 265 298 331 364 397 430 463 496 529 562 595 628 661 694 727 760 793 826 859 892 925 958 991 1024 1057 1090 1123 1156 1189 1222 1255 1288 1321 1354 1387 1420 1453 1486 1519 1552 1585 1618 1651 1684 1717 1750 1783 1816 1849 1882 1915 1948 1981 2014 2047 2080 2113 2146 2179 2212 
34 65 94 121 146 169 190 209 226 241 254 265 274 281 286 289 290 289 286 281 274 265 254 241 226 209 190 169 146 121 94 65 34 1 35 69 103 137 171 205 239 273 307 341 375 409 443 477 511 545 579 613 647 681 715 749 783 817 851 885 919 953 987 1021 1055 1089 1123 1157 1191 1225 1259 1293 1327 1361 1395 1429 1463 1497 1531 1565 1599 1633 1667 1701 1735 1769 1803 1837 1871 1905 1939 1973 2007 2041 2075 2109 2143 2177 2211 2245 
35 67 97 125 151 175 197 217 235 251 265 277 287 295 301 305 307 307 305 301 295 287 277 265 251 235 217 197 175 151 125 97 67 35 1 36 71 106 141 176 211 246 281 316 351 386 421 456 491 526 561 596 631 666 701 736 771 806 841 876 911 946 981 1016 1051 1086 1121 1156 1191 1226 1261 1296 1331 1366 1401 1436 1471 1506 1541 1576 1611 1646 1681 1716 1751 1786 1821 1856 1891 1926 1961 1996 2031 2066 2101 2136 2171 2206 2241 2276 
